,0,1,2,3,4,5,6,7,8,9,10,11,12,username
0,Female,Male,left,Hindi,New Job,committed,Hindu,Delhi, forklifting,Lady Shri Ram College for Women,ST. FRANCIS` SCHOOL,Nothing splendid has ever been achieved except by those who dared believe that something inside of them was superior to circumstance. Bruce Barton,Enable Midstream Partners,keshavgupta17
1,Male,Female,right,,New Job,married,Sikh,Pune,Adobe Creative Suite,P.G.D.A.V. College,JOYBELLS (PVT),"Youre going to fail your way to success, you have nothing to be ashamed of so keep your head up. It’s much easier to come up with excuses of why you cant do it. If you do what is easy your life will be hard. Les Brown",Greenbrier Cos.,vidit.jain.127
2,,Other,,Punjabi,Graduated,single,Buddhism,Ahmedabad,operating a road roller,Delhi College of Arts & Commerce,NEW LIGHT ACADEMY,,Target,100003841880135
3,Female,Male,apolitical,,Bought Vehicle,complicated,Buddhism,Delhi, CRMs,Deen Dayal Upadhyaya College,VICTORY ACADEMY,It took me a long time not to judge myself through someone elses eyes. Sally Field,Icahn Enterprises,prakhar.goel.71
4,Female,Male,left,Tamil,Bought House,committed,Hindu,Kanpur, Crystallization ,IIT Kanpur,LORETO CONVENT SCHOOL,Nobody can make you feel inferior without your consent. Eleanor Roosevelt,Corning,raunak.mokhasi
5,Male,Female,right,English,New Job,single,Atheist,Lucknow,operating a road roller,Indira Gandhi Institute of Physical Education & Sports Sciences,SOUTH POINT ACADEMY,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",Graphic Packaging Holding,tanish.jain.1293575
6,Male,,right,English,Bought House,committed,Sikh,Visakhapatnam,C#,Indraprastha College for Women,DREAM LAND ACADEMY (PVT,Nothing splendid has ever been achieved except by those who dared believe that something inside of them was superior to circumstance. Bruce Barton,Allstate,sujay237
7,,Other,right,English,Graduated,married,Christian,Delhi, Google Search Console Operator,Sri Aurobindo College,SUNMARG ACADEMY,It took me a long time not to judge myself through someone elses eyes. Sally Field,FM Global,Ruchitabiradar
8,Female,Male,left,Bengali,Bought House,divorced,Christian,Surat, bookkeeping,IIT Mandi,LITTLE BELLS (PVT),It took me a long time not to judge myself through someone elses eyes. Sally Field,Caesars Entertainment,nakul.boora
9,Male,Female,left,English,Graduated,married,Muslim,Visakhapatnam,Java,Sri Aurobindo College,MOUNT KANCHAN ACADEMY,"Hope never abandons you, you abandon it. George Weinberg",EnLink Midstream,tanvi.tyagi.946
