,0,1,2,3,4,5,6,7,8,9,10,11,12,username
0,Female,Male,right,Tamil,,live-in,Buddhism,,Accounting ,Shri Ram College of Commerce,HIMALAYAN ACADEMY LUNGCHOK,"Hope never abandons you, you abandon it. George Weinberg",KKR,agnel.gino
1,Female,Male,left,Bengali,Married,married,Muslim,Delhi, Google Search Console Operator,Sri Aurobindo College,HILL BUDS ACADEMY,,Wayfair,anna.elisabeth.180
2,Male,,right,,Graduated,single,Hindu,Bangalore,operating a road roller,G.B. Pant Hospital,GRACE ACADEMY,"Hope never abandons you, you abandon it. George Weinberg",TD Ameritrade Holding,100009386551595
3,,Female,,English,Bought House,married,Atheist,Lucknow,,Zakir Husain Delhi College,MOUNT CARMEL,,Cigna,shivam.shanker.7
4,Male,Female,apolitical,Hindi,Married,complicated,Sikh,Delhi,Mathematics ,Institute of Human Behaviour & Allied Sciences,LITTLE ANGEL SCHOOL,,PVH,ardhra.jose.731
5,Female,Male,right,Hindi,Bought House,committed,Atheist,Nagpur, forklifting,IIT Kanpur,ANNES HOUSE NUSERY,"Aerodynamically the bumblebee shouldnt be able to fly, but the bumblebee doesnt know that so it goes on flying anyway. Mary Kay Ash",Comcast,pavanc7
6,Female,Male,right,Hindi,Graduated,divorced,Christian,Visakhapatnam, Ableton Live Suite,Janki Devi Memorial College,BAHAI SCHOOL (PVT),,Hyster-Yale Materials Handling,ridhi.guru.1
7,Male,Female,,Hindi,,,Buddhism,Chennai,Adobe Creative Suite,Moti Lal Nehru College (Evening),NEW TULIPS KINDERGARDEN,"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",Allscripts Healthcare Solutions,serali.murmu.96
8,Male,Female,right,Hindi,,,,Nagpur, C++,College of Art,DONALD MEMORIAL ACADEMY (PVT,,Williams-Sonoma,sargam.monga.1
9,Female,Male,right,Hindi,New Job,committed,Buddhism,Kolkata, Ableton Live Suite,Maulana Azad Medical College,ST JOSEPH SCHOOL,"The secret is in not giving up, of all the greats they didnt quit. If you quit I guarantee youre gonna fail, but you dont know whats gunna happen if you dont give in. Eric Thomas",Penske Automotive Group,santushtii
10,,,apolitical,Punjabi,Bought House,married,Christian,Visakhapatnam, Ableton Live Suite,Zakir Husain Post Graduate Evening College,MOUNT SINAI ACADEMY,"Ive missed more than 9,000 shots in my career. Ive lost almost 300 games. Twenty-six times Ive been trusted to take the game-winning shot and missed. Ive failed over and over and over again in my life. And that is why I succeed. Michael Jordan",Prudential Financial,tista.lather
11,Female,Male,left,English,,,Atheist,Bangalore,Java,Bhim Rao Ambedkar College,VISION ACADEMY,,Southern,adityaguptamumbai
12,,,,Bengali,Bought House,divorced,Muslim,, Crystallization ,Gargi College,MOUNT CARMEL SCHOOL,,Farmers Insurance Exchange,navdha.singh
13,Female,Male,right,,Married,divorced,Atheist,Mumbai, CRMs,P.G.D.A.V. College (Evening),BRIGHT LIFE ENGLISH SCHOOL,,Rockwell Collins,jose.john.3517563
14,,,,English,Graduated,committed,Hindu,Delhi, Ableton Live Suite,P.G.D.A.V. College,VENUS ACADEMY,The only place you find success before work is in the dictionary. May V Smith,Clorox,maria.susan.165
15,Male,,apolitical,Hindi,Bought House,single,Muslim,Kanpur,SEM Marketing,Indraprastha College for Women,ROSHAN MEMORIAL ACADEMY,It took me a long time not to judge myself through someone elses eyes. Sally Field,M/I Homes,harshit.dewan.1
16,Female,Male,right,Hindi,Bought Vehicle,live-in,,Kanpur,Frequency analysis,Shivaji College,SOUTH POINT ACADEMY,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",Pfizer,jerry.joseph.144
17,Female,Male,apolitical,Punjabi,Bought House,live-in,Jainism,Chennai,operating a road roller,Moti Lal Nehru College,WISDOM VALLEY ACADEMY,,Allegheny Technologies,akaReddy
18,Male,Female,left,English,Graduated,,Christian,Jaipur, CRMs,Keshav Mahavidyalaya,BAPTIST ENG . SCHOOL (PVT),"Ive missed more than 9,000 shots in my career. Ive lost almost 300 games. Twenty-six times Ive been trusted to take the game-winning shot and missed. Ive failed over and over and over again in my life. And that is why I succeed. Michael Jordan",Mohawk Industries,sohith.kakumanu
19,,Female,left,English,Married,live-in,Christian,Lucknow,,Indira Gandhi Institute of Physical Education & Sports Sciences,J M K MEMORIAL SCHOOL,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",Gartner,Ridhim23
20,Female,Male,,,,married,Jainism,Hyderabad,C#,Maulana Azad Institute of Dental Sciences,GOOD STAR ENG SCHOOL,,Itron,tereen.gupta
21,Male,Female,left,,Bought Vehicle,,Muslim,Pune,Adobe Creative Suite,Deen Dayal Upadhyaya College,PARSURAM MEMORIAL ACADEMY,"Being strong means rejoicing in who you are, complete with imperfections. Margaret Woodhouse",Quest Diagnostics,anish.bhardwaj.33
22,Female,Male,apolitical,Hindi,Married,live-in,Hindu,Nagpur,,Delhi College of Arts & Commerce,JUBILANT PVT SCHOOL,I quit being afraid when my first venture failed and the sky didnt fall down. Allen H Neuharth,Cincinnati Financial,joyraj.bhowmick
23,Male,Female,apolitical,Tamil,,divorced,Buddhism,Pune,Mathematics ,Lakshmi Bai College for Women,VENUS ACADEMY,,ManpowerGroup,divij.madan.3
24,Male,Female,left,Hindi,Bought House,live-in,,Delhi,C#,G.B. Pant Hospital,SARASWATI VIDYALAYA KYONGSHA,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle Albert Einstein,Stryker,jayant.malik.75
