,0,1,2,3,4,5,6,7,8,9,10,11,12,username
0,0,2,0,2,0,0,4,6,14,76,62,0,296,146
1,1,0,2,4,1,5,4,14,4,89,84,0,42,189
2,0,3,3,1,1,6,3,13,0,39,243,0,77,45
3,1,2,3,1,1,6,2,5,8,53,148,0,275,566
4,2,1,3,2,5,6,7,1,10,97,91,0,438,203
5,2,0,1,1,1,2,0,9,11,77,196,14,371,465
6,2,1,2,4,4,3,5,14,9,74,58,17,120,509
7,0,3,0,3,3,6,4,4,3,21,247,0,352,556
8,2,0,2,2,3,2,6,9,0,67,15,1,178,545
9,1,2,0,0,3,0,2,13,9,18,58,3,320,544
10,2,1,1,3,1,6,4,3,10,2,232,0,363,629
11,1,2,0,3,0,2,4,5,4,81,267,15,436,143
12,2,1,3,5,4,6,4,6,5,82,257,0,169,433
13,1,2,0,3,0,2,2,9,8,1,289,16,377,363
14,2,0,0,1,4,6,5,4,6,71,193,8,285,408
15,0,3,0,1,3,6,6,4,1,6,276,0,130,320
16,2,1,1,5,3,5,4,11,4,83,89,0,101,354
17,0,3,3,3,5,2,4,4,13,98,1,0,75,150
18,1,0,3,2,3,2,5,4,3,41,11,10,214,596
19,2,1,1,5,5,1,4,9,3,96,43,5,239,110
20,2,1,2,3,3,2,2,4,6,90,298,18,96,623
21,1,2,2,0,0,3,7,5,16,4,129,0,407,180
22,2,1,1,2,1,4,3,13,6,69,230,14,60,364
23,1,2,1,3,5,6,6,11,7,89,254,5,196,280
24,0,3,0,0,1,2,1,10,12,6,108,17,455,348
25,1,2,0,3,4,3,5,8,12,86,273,16,418,428
26,0,0,3,4,4,3,4,4,13,42,179,16,329,530
27,0,0,2,3,3,6,6,4,12,69,131,17,27,269
28,1,2,0,0,0,1,4,12,5,20,163,0,62,89
29,2,0,0,1,4,5,5,9,13,25,178,18,290,456
30,2,1,0,2,4,0,0,13,10,20,165,20,4,484
31,0,2,2,3,4,6,1,9,14,81,227,3,368,162
32,0,2,0,2,2,6,7,5,19,83,99,16,379,192
33,1,2,2,2,3,6,3,12,13,84,21,10,337,219
34,1,2,3,2,3,6,5,5,15,6,21,13,293,287
35,2,1,2,4,0,1,7,7,16,72,232,0,256,490
36,1,2,2,2,5,1,0,1,13,20,69,18,458,155
37,2,1,3,2,5,0,5,13,10,52,290,11,308,129
38,2,1,1,2,4,2,4,9,20,45,52,3,88,55
39,0,1,0,2,4,3,6,4,0,71,303,0,448,185
40,1,2,1,3,4,5,6,9,19,53,230,15,136,239
41,1,2,0,3,0,6,3,5,15,17,270,3,301,361
42,2,1,0,2,4,2,3,1,12,53,179,20,382,427
43,2,1,3,2,3,5,2,0,7,39,268,0,365,339
44,2,1,1,4,4,3,7,3,2,19,299,13,232,387
45,0,0,0,1,4,3,2,4,18,27,265,7,271,367
46,0,2,0,4,0,4,0,9,5,48,98,20,313,140
47,1,0,3,3,1,5,4,6,6,63,62,5,343,657
48,2,1,0,3,2,6,4,9,19,26,20,0,242,315
49,2,1,1,1,5,0,2,10,5,94,287,13,81,81
50,1,1,3,4,3,2,3,5,3,63,199,0,9,446
51,2,1,3,1,4,6,4,1,3,15,14,0,86,369
52,2,1,0,3,0,1,4,3,6,39,39,9,170,177
53,0,1,0,1,0,6,5,12,8,31,173,0,190,106
54,2,1,3,3,2,0,1,3,18,56,65,4,356,439
55,2,1,0,3,4,1,2,6,3,60,163,14,421,98
56,1,2,2,2,2,4,5,5,5,20,155,9,422,277
57,1,2,3,5,4,5,4,8,19,22,167,0,476,187
58,2,1,1,2,0,1,2,0,18,63,282,0,400,142
59,0,3,0,5,5,5,4,3,2,38,194,6,306,304
60,0,1,1,3,4,2,7,10,1,42,298,3,274,284
61,1,2,2,2,3,6,3,3,14,12,264,15,161,222
62,2,1,2,2,1,0,1,0,12,97,86,1,299,392
63,1,2,2,3,2,3,2,4,21,71,275,16,30,535
64,2,1,0,0,0,0,1,7,3,84,227,2,359,233
65,0,0,1,0,0,1,4,11,18,51,102,10,205,346
66,1,0,3,3,2,1,0,11,19,17,172,0,57,80
67,1,2,2,1,0,6,4,7,4,6,97,0,305,258
68,2,1,1,3,1,5,4,11,15,32,141,11,413,423
69,1,2,1,4,0,2,4,4,4,0,233,16,278,121
70,1,2,1,3,1,6,3,8,20,95,136,0,19,620
71,1,2,3,3,2,5,4,1,15,47,291,0,122,82
72,1,2,2,2,0,6,4,4,8,98,17,0,370,127
73,1,2,2,3,3,0,0,4,2,64,45,9,134,660
74,2,1,3,2,3,0,7,12,0,88,121,2,149,502
75,1,2,3,3,3,1,1,4,19,43,278,16,352,358
76,0,1,1,1,5,3,7,7,17,67,84,0,461,432
77,2,1,3,2,3,1,3,14,22,73,150,16,229,453
78,1,0,3,3,4,0,4,10,7,35,84,11,323,368
79,2,1,1,4,4,3,0,4,17,39,209,10,102,539
80,0,1,1,1,4,6,1,4,7,34,127,4,404,34
81,1,2,1,4,5,5,3,6,0,62,304,13,288,122
82,0,1,3,2,5,2,0,13,5,88,95,9,327,585
83,1,2,0,0,3,5,5,9,16,32,286,18,41,205
84,2,1,3,0,4,0,7,1,8,69,228,0,115,100
85,2,1,0,2,3,1,4,10,19,51,89,12,468,90
86,1,2,0,3,0,6,7,3,16,51,220,0,414,324
87,0,3,2,3,5,2,2,4,15,72,165,0,381,296
88,1,2,0,2,5,3,4,5,5,52,9,8,311,653
89,1,2,0,3,2,6,6,2,6,18,135,16,26,580
90,2,1,0,3,3,1,6,6,8,62,192,0,453,475
91,2,1,1,3,4,6,2,13,20,8,137,0,58,212
92,2,1,3,1,3,2,3,4,22,34,279,2,157,558
93,2,1,2,0,0,3,1,13,5,94,214,0,215,79
94,2,1,0,0,5,4,7,3,3,60,104,6,460,4
95,1,2,3,5,0,5,4,13,13,16,277,0,375,200
96,1,2,0,3,1,4,0,2,2,46,240,0,441,96
97,1,2,1,5,5,3,7,9,16,81,178,0,319,519
98,2,1,2,5,2,2,0,0,18,79,12,2,51,131
99,1,2,3,5,0,5,1,7,21,11,71,0,349,11
100,2,1,1,1,4,6,4,8,20,79,128,0,326,1
101,2,2,1,1,5,5,2,0,5,9,258,0,73,521
102,2,1,2,4,0,1,6,10,15,38,130,0,11,182
103,2,1,3,5,5,4,6,14,13,65,73,1,455,293
104,1,2,3,1,3,0,3,8,1,53,280,9,2,61
105,0,1,1,5,3,3,0,9,3,81,305,14,447,188
106,0,3,3,1,1,1,1,13,18,57,293,15,56,577
107,2,1,1,4,3,5,5,9,5,29,31,5,97,298
108,1,2,0,5,0,5,4,9,19,83,63,1,61,607
109,1,2,0,3,1,6,5,4,13,31,17,6,134,59
110,2,1,1,5,4,3,3,12,2,17,287,11,76,515
111,2,1,0,3,2,6,4,0,7,73,124,17,405,314
112,0,3,3,4,4,1,3,3,1,19,271,0,342,220
113,0,2,2,4,0,6,6,1,17,48,16,5,479,40
114,2,1,1,3,4,1,0,1,19,73,182,16,213,113
115,2,1,0,4,0,1,4,6,14,85,210,20,369,256
116,2,1,1,3,2,6,4,7,19,82,204,0,358,468
117,0,3,1,2,4,0,4,10,15,89,31,7,292,302
118,1,2,2,1,1,6,7,9,13,33,67,3,145,435
119,1,0,0,2,0,2,5,4,7,64,251,13,127,336
120,1,2,2,4,1,6,5,4,5,27,182,13,78,231
121,1,2,0,3,4,0,1,13,3,83,286,19,49,455
122,2,1,2,3,0,2,4,9,12,5,277,0,435,604
123,0,2,2,3,3,3,7,8,15,51,158,15,80,531
124,1,2,2,2,2,1,5,0,11,66,107,0,50,650
125,1,2,1,2,5,2,1,8,15,1,7,10,166,147
126,1,2,2,2,1,3,4,4,18,16,83,12,306,487
127,2,1,1,5,3,6,1,13,0,70,51,8,298,413
128,1,0,3,4,0,0,6,7,14,9,35,9,364,630
129,2,1,0,1,5,0,6,4,14,87,188,6,386,557
130,0,2,0,0,2,5,7,10,11,65,268,10,362,496
131,1,2,1,3,0,1,7,12,3,84,179,0,471,206
132,1,2,3,1,4,5,2,2,2,68,294,0,396,402
133,1,2,3,4,1,6,1,2,13,28,248,1,259,311
134,1,2,3,1,5,6,6,6,0,47,216,12,173,272
135,2,1,3,4,1,0,5,2,18,51,248,3,335,445
136,1,2,0,3,2,2,2,3,5,55,201,3,408,178
137,2,1,3,3,2,1,4,14,19,71,47,0,231,492
138,0,0,2,3,0,2,3,9,6,10,249,10,64,97
139,1,2,1,2,4,2,6,0,8,52,239,12,249,119
140,1,2,0,5,5,1,4,5,19,21,290,0,74,570
141,1,2,1,2,1,1,3,4,13,88,85,6,160,265
142,1,0,3,5,1,6,1,4,11,41,154,2,218,351
143,1,2,0,3,0,3,3,6,4,65,185,13,104,107
144,0,2,1,2,3,2,5,13,17,56,115,0,476,498
145,1,2,1,3,3,6,2,5,14,83,47,16,390,9
146,1,2,1,5,3,6,1,5,10,43,98,17,80,632
147,1,2,3,5,0,0,7,0,20,35,56,17,471,419
148,0,0,0,2,2,3,2,8,18,68,228,18,345,49
149,2,1,0,2,1,6,7,5,9,74,102,18,175,56
150,0,3,1,1,3,0,1,5,0,66,199,14,371,305
151,1,2,3,3,1,2,1,0,4,54,157,13,386,375
152,2,1,0,0,5,2,0,5,11,25,253,0,300,597
153,1,2,3,3,2,0,0,11,11,40,37,1,360,51
154,1,2,3,4,4,2,7,6,8,66,64,0,204,295
155,2,1,3,5,4,5,1,11,22,18,208,0,206,373
156,2,1,2,0,2,1,4,3,7,97,12,0,403,175
157,0,3,0,1,2,3,3,12,17,95,230,6,220,547
158,2,1,2,3,3,2,0,2,5,22,130,7,453,359
159,1,2,1,4,3,3,5,6,13,33,106,0,180,405
160,2,1,3,2,4,4,1,7,9,59,101,11,451,523
