,Male,,English,,,Hindu,Jaipur,Accounting ,School of Rehabilitation Sciences,EUREKA ENGLISH SCHOOL,,Moody's
Female,,left,Punjabi,Bought House,married,Hindu,Visakhapatnam, ERP systems,Sri Guru Nanak Dev Khalsa College,GREEN VALE LANGANG,,Aramark
,Other,right,Bengali,Bought House,single,Christian,Surat, Ableton Live Suite,Indraprastha College for Women,SOUTH PIONT ACADEMY,,Burlington Stores
Female,Male,right,Bengali,Bought House,single,Buddhism,Hyderabad, Stethoscope Usage,Maharaja Agarsen College,MANJUSRI CITY (PUBLIC) SCHOOL,,MDU Resources Group
Male,Female,right,English,New Job,single,Sikh,Ahmedabad, forklifting,Zakir Husain Delhi College,GYANODAYA NURSERY SCHOOL,,Triumph Group
Male,,apolitical,Bengali,Bought House,complicated,,Lucknow, operating a PoS,Shaheed Bhagat Singh College,PEMA SAMPHEL ACADEMY,"People are like stained-glass windows. They sparkle and shine when the sun is out, but when the darkness sets in their true beauty is revealed only if there is light from within. Elisabeth Kübler-Ross",RPM International
Male,Female,left,Punjabi,Married,divorced,Jainism,Visakhapatnam, bookkeeping,Satyawati College (Evening),ENGLIGHTENED ACADEMY,The only thing keeping you from getting what you want is the story you keep telling yourself about why you dont have it. People who are willing to die to succeed will tend to succeed. Tony Robbins,Crown Holdings
,Other,,Hindi,Graduated,single,Hindu,Delhi, Crystallization ,Deshbandhu College(Morning),SPRINGDALE SCHOOL (PVT),,Paychex
Male,,left,English,Graduated,complicated,Muslim,Lucknow, Ableton Live Suite,Pt. Deendayal Upadhyaya Institute of Physically Handicapped,"BAHAI SCHOOL, SARAMSA","A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing. George Bernard Shaw",Freddie Mac
Female,Male,,,Graduated,,Buddhism,Surat, bookkeeping,Deen Dayal Upadhyaya College,ENGLIGHTENED ACADEMY,"Being strong means rejoicing in who you are, complete with imperfections. Margaret Woodhouse",Nexstar Media Group
Male,Female,apolitical,Hindi,Bought House,single,Hindu,Chennai, forklifting,Aditi Mahavidyalaya,SEVEN HILLS SCHOOL,,Prudential Financial
Female,Male,,Hindi,,complicated,Hindu,Hyderabad, ERP systems,Shivaji College,STAR LIGHT ACADEMY,"Take chances, make mistakes. Thats how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. Mary Tyler Moore",TriNet Group
Male,Female,right,Tamil,Married,single,Hindu,Jaipur, Google Analytics,Shri Ram College of Commerce,ST. JOSHEP SS,,First American Financial
